transaction_id	user_id	account_id	amount	currency	transaction_type	merchant_id	merchant_category	card_type	transaction_channel	location	timestamp	fraud_flag	risk_score	device_id	fraud_scenario
1	4834	75237	2518.77	GBP	Withdrawal	350	Electronics	Prepaid	Mobile App	Chicago	2025-11-13 18:21:57	0	0.01	device_9414	
2	2545	12119	4697.73	GBP	Transfer	119	Grocery	Prepaid	POS	Los Angeles	2025-11-16 02:13:57	0	0.19	device_5018	
3	4259	70773	2236.77	GBP	Transfer	469	Grocery	Debit	Mobile App	Miami	2025-11-11 06:00:57	0	0.12	device_4813	
4	4744	68752	1751.36	EUR	Payment	380	Travel	Debit	POS	New York	2025-11-14 02:05:57	0	0.12	device_3454	
5	4731	32603	153.79	USD	Deposit	285	Restaurants	Prepaid	Web	New York	2025-11-15 01:03:57	0	0.09	device_9288	
6	3637	86516	3229.45	GBP	Transfer	100	Electronics	Credit	POS	Chicago	2025-11-13 05:50:57	0	0.1	device_1761	
7	2130	27167	139.05	GBP	Transfer	391	Grocery	Debit	Mobile App	New York	2025-11-11 01:46:57	0	0.09	device_4288	
8	1723	97380	1915.15	USD	Payment	215	Restaurants	Credit	Web	Houston	2025-11-10 16:48:57	0	0.06	device_4557	
9	2733	48492	4352.11	EUR	Deposit	445	Luxury	Debit	Web	New York	2025-11-14 18:48:57	0	0.07	device_5823	
10	2246	89024	1933.03	EUR	Transfer	196	Luxury	Prepaid	Mobile App	Chicago	2025-11-11 21:53:57	0	0.25	device_7216	
11	4791	69766	735.68	EUR	Withdrawal	398	Restaurants	Debit	Mobile App	Houston	2025-11-12 19:29:57	0	0.26	device_6517	
12	4353	20083	3923.59	EUR	Withdrawal	465	Grocery	Credit	Web	Houston	2025-11-15 11:14:57	0	0.07	device_7042	
13	4496	36423	2261.24	USD	Deposit	339	Electronics	Credit	POS	Houston	2025-11-11 17:26:57	0	0.01	device_1563	
14	1125	36586	4514.55	GBP	Transfer	479	Electronics	Debit	Web	Chicago	2025-11-10 01:02:57	1	0.89	device_5678	High-Risk Merchant
15	3401	95619	3115.48	USD	Transfer	187	Electronics	Debit	POS	Los Angeles	2025-11-11 13:30:57	0	0.17	device_3291	
16	3182	80191	4758.74	EUR	Payment	467	Electronics	Credit	Mobile App	Miami	2025-11-12 12:36:57	0	0.1	device_9164	
17	2484	37879	4462.32	GBP	Deposit	145	Travel	Prepaid	POS	Los Angeles	2025-11-13 17:21:57	1	0.83	device_1006	Synthetic Identity
18	1858	49949	3826.75	GBP	Payment	166	Restaurants	Debit	Web	New York	2025-11-11 19:36:57	0	0.18	device_8965	
19	2000	34363	3147.66	USD	Withdrawal	497	Electronics	Credit	POS	New York	2025-11-15 20:22:57	0	0.09	device_4780	
20	1051	84148	3210.04	USD	Payment	389	Electronics	Credit	Mobile App	New York	2025-11-14 14:17:57	0	0.26	device_2647	
21	1989	81640	262.4	USD	Transfer	373	Travel	Prepaid	Web	Los Angeles	2025-11-13 09:27:57	0	0.19	device_8746	
22	3237	50801	2384.27	EUR	Transfer	181	Grocery	Debit	Mobile App	Miami	2025-11-11 19:35:57	0	0.18	device_8796	
23	2393	68421	2415.08	USD	Payment	264	Restaurants	Credit	POS	Chicago	2025-11-14 17:59:57	0	0.1	device_5792	
24	2599	37900	4048.66	USD	Withdrawal	260	Luxury	Debit	Web	Houston	2025-11-12 02:03:57	0	0.01	device_8698	
25	3074	71221	1706.46	EUR	Deposit	296	Restaurants	Debit	Mobile App	Miami	2025-11-15 02:38:57	0	0.11	device_3935	
26	4482	84973	1380.66	GBP	Payment	342	Travel	Prepaid	Mobile App	Miami	2025-11-14 10:07:57	0	0.09	device_4919	
27	2878	47030	2790.01	USD	Payment	341	Grocery	Prepaid	POS	New York	2025-11-16 09:22:57	0	0.07	device_1586	
28	3266	84871	2218.0	EUR	Deposit	412	Grocery	Credit	POS	Chicago	2025-11-15 17:20:57	0	0.26	device_1737	
29	1580	17412	397.2	EUR	Deposit	402	Luxury	Debit	POS	Los Angeles	2025-11-14 17:17:57	0	0.06	device_8369	
30	3689	63708	559.06	GBP	Payment	354	Grocery	Credit	Web	New York	2025-11-11 07:09:57	1	0.75	device_6555	Account Takeover
31	1425	66103	4271.43	EUR	Deposit	192	Travel	Credit	Web	Chicago	2025-11-13 05:25:57	0	0.29	device_5736	
32	1163	10392	2332.6	GBP	Payment	113	Electronics	Credit	POS	Houston	2025-11-10 12:20:57	0	0.03	device_6522	
33	4380	65506	53.09	GBP	Transfer	477	Electronics	Credit	Mobile App	New York	2025-11-13 14:23:57	0	0.05	device_9381	
